Datetime,Adj Close,Close,High,Low,Open,Volume
02/14/2023-09:00,21833.75195,21833.75195,21835.43164,21708.89453,21711.50391,0
02/14/2023-10:00,21827.17969,21827.17969,21849.01172,21814.4668,21832.45703,0
02/14/2023-11:00,21825.22266,21825.22266,21836.06445,21807.03906,21827.10156,0
02/14/2023-12:00,21876.07227,21876.07227,21879.12695,21819.35352,21824.73242,0
02/14/2023-13:00,21774.28516,21774.28516,21885.54688,21708.95508,21874.7832,1769240576
02/14/2023-14:00,22170.24805,22170.24805,22170.24805,21632.39453,21761.34375,1551996928
02/14/2023-15:00,22035.81445,22035.81445,22293.14063,21974.53906,22164.14063,2054926336
02/14/2023-16:00,21995.48242,21995.48242,22118.60156,21969.0625,22039.26172,471289856
02/14/2023-17:00,22062.75,22062.75,22084.82422,21999.625,21999.625,0
02/14/2023-18:00,22133,22133,22149.15039,22063.14258,22063.14258,119306240
02/14/2023-19:00,22211.13086,22211.13086,22228.10352,22098.64453,22130.96094,422739968
02/14/2023-20:00,22238.10352,22238.10352,22239.20898,22191.21484,22210.52734,156909568
02/14/2023-21:00,22247.38086,22247.38086,22249.88086,22158.88672,22239.86523,424708096
02/14/2023-22:00,22200.05469,22200.05469,22250.58203,22184.77148,22247.00586,29120512
02/14/2023-23:00,22222.05664,22222.05664,22254.62695,22197.0918,22200.24023,0
02/15/2023-00:00,22157.11133,22157.11133,22221.29883,22150.20703,22220.58594,0
02/15/2023-01:00,22132.72656,22132.72656,22177.94531,22132.72656,22158.92383,0
02/15/2023-02:00,22092.91797,22092.91797,22143.05469,22084.1582,22132.4082,150802432
02/15/2023-03:00,22117.20117,22117.20117,22131.49609,22090.83008,22094.14258,194668544
02/15/2023-04:00,22110.96094,22110.96094,22131.51367,22110.96094,22115.42773,0
02/15/2023-05:00,22136.10742,22136.10742,22151.06836,22101.91016,22106.26172,40491008
02/15/2023-06:00,22135.53906,22135.53906,22161.96484,22133.82031,22136.11914,17383424
02/15/2023-07:00,22125.95117,22125.95117,22166.35938,22125.95117,22135.09766,79947776
02/15/2023-08:00,22120.64453,22120.64453,22146.95508,22110.61328,22127.08789,0
02/15/2023-09:00,22160.25391,22160.25391,22160.25391,22112.86523,22119.22461,0
02/15/2023-10:00,22249.54492,22249.54492,22250.60547,22161.14063,22174.58984,61349888
02/15/2023-11:00,22451.49805,22451.49805,22469.32617,22235.98633,22247.7832,1021759488
02/15/2023-12:00,22763.78906,22763.78906,22816.48242,22451.30078,22451.30078,1953574912
02/15/2023-13:00,22727.26367,22727.26367,22770.29883,22715.72461,22765.14063,0
02/15/2023-14:00,22693.95117,22693.95117,22773.85938,22664.47461,22721.91211,0
02/15/2023-15:00,22825.11328,22825.11328,22829.71094,22698.83789,22708.76953,0
02/15/2023-16:00,22781.30078,22781.30078,22871.78516,22769.56055,22820.99023,0
02/15/2023-17:00,22803.59766,22803.59766,22814.44336,22774.85742,22779.51758,0
02/15/2023-18:00,22957.33398,22957.33398,22957.33398,22787.7832,22800.49219,140460032
02/15/2023-19:00,23282.47656,23282.47656,23288.41016,22949.57617,22961.14648,1268035584
02/15/2023-20:00,24090.9375,24090.9375,24106.57813,23281.53125,23281.53125,3163486208
02/15/2023-21:00,24146.00586,24146.00586,24146.00586,24044.71289,24097.12109,843780096
02/15/2023-22:00,24241.16016,24241.16016,24281.74805,24146.56445,24146.56445,1061738496
02/15/2023-23:00,24303.59961,24303.59961,24305.69336,24167.79102,24204.74805,683708416
02/16/2023-00:00,24601.61914,24601.61914,24769.24219,24303.86523,24307.34961,2189324288
02/16/2023-01:00,24597.10938,24597.10938,24659.49805,24586.30273,24596.38281,487940096
02/16/2023-02:00,24690.79688,24690.79688,24703.54492,24615.98047,24615.98047,326258688
02/16/2023-03:00,24720.51172,24720.51172,24726.58594,24688.02344,24690.60938,139919360
02/16/2023-04:00,24668.17969,24668.17969,24739.60156,24662.87109,24721.42969,401281024
02/16/2023-05:00,24681.32813,24681.32813,24688.63281,24634.61133,24658.0332,323678208
02/16/2023-06:00,24693.32617,24693.32617,24724.43359,24661.67383,24680.45703,201494528
02/16/2023-07:00,24584.71289,24584.71289,24631.99023,24516.89453,24631.99023,575606784
02/16/2023-08:00,24611.60547,24611.60547,24649.49805,24570.9375,24584.78516,213360640
02/16/2023-09:00,24642.41602,24642.41602,24642.41602,24575.9043,24590.96289,165216256
02/16/2023-10:00,24625.87305,24625.87305,24648.13086,24613.11523,24644.11523,0
02/16/2023-11:00,24557.2207,24557.2207,24624.31055,24523.33398,24624.31055,0
02/16/2023-12:00,24582.85742,24582.85742,24590.57617,24490.00977,24561.89063,0
02/16/2023-13:00,24442.13281,24442.13281,24599.3125,24442.13281,24588.2168,0
02/16/2023-14:00,24446.02148,24446.02148,24484.9082,24359.69727,24448.31055,555638784
02/16/2023-15:00,24927.07422,24927.07422,24927.07422,24416.87695,24428.66797,1270476800
02/16/2023-16:00,24967.26758,24967.26758,25134.11719,24732.39453,24981.46875,3264376832
02/16/2023-17:00,24901.98828,24901.98828,24945.65234,24809.07227,24945.65234,1142280192
02/16/2023-18:00,24957.58984,24957.58984,24990.06641,24875.97266,24894.69531,128294912
02/16/2023-19:00,24881.63086,24881.63086,24964.8125,24859.88086,24956.56445,0
02/16/2023-20:00,24560.59961,24560.59961,24879.89258,24510.77734,24879.89258,0
02/16/2023-21:00,24508.6543,24508.6543,24558.35156,24442.81836,24546.28125,0
02/16/2023-22:00,24059.01953,24059.01953,24548.95313,24059.01953,24514.50781,169123840
02/16/2023-23:00,23611.83008,23611.83008,24087.1582,23602.52344,24021.00781,857612288
02/17/2023-00:00,23723.5957,23723.5957,23773.83398,23460.75586,23621.2832,111280128
02/17/2023-01:00,23785.36328,23785.36328,23785.36328,23694.41797,23733.00977,72069120
02/17/2023-02:00,23812.40234,23812.40234,23859.33008,23790.83398,23832.76367,123453440
